Artist Reputation,Height,Width,Weight,Price Of Sculpture,Base Shipping Price,Area,Combined_Price,Duration,International,Express Shipment,Installation Included,Fragile,Material,Transport,Month,Year,Week,Customer Information,Customer Location,Cost
0.0,18.0,9.0,7562.0,5.79,96.22,162.0,102.01,0,No,No,No,No,Bronze,Waterways,9,2018,4,Working Class,NJ,5.930785236296131
0.05,13.0,7.0,107.0,3.58,24.2,91.0,27.78,-2,No,No,No,No,Wood,Waterways,9,2017,0,Working Class,AL,4.839530592507466
0.68,13.0,8.0,2915.0,9.0,19.37,104.0,28.37,2,No,No,Yes,No,Bronze,Roadways,6,2019,0,Working Class,LA,6.869949564246238
0.57,32.0,15.0,8542.0,28.16,88.68,480.0,116.84,0,Yes,No,No,Yes,Clay,Waterways,12,2015,2,Wealthy,AE,7.381296393940858
0.39,4.0,3.0,46.0,4.0,12.62,12.0,16.619999999999997,0,No,No,No,Yes,Marble,Roadways,3,2018,1,Working Class,RI,4.883937641050299
0.86,28.0,8.0,538.0,3.51,20.81,224.0,24.32,3,No,Yes,No,No,Aluminium,Airways,8,2019,3,Working Class,NJ,6.605879619117374
0.65,10.0,4.0,1000.0,8.02,12.69,40.0,20.71,1,No,No,No,No,Brass,Airways,5,2018,3,Working Class,CT,6.111289940176331
0.48,5.0,3.0,61.0,6.17,18.72,15.0,24.89,0,No,No,No,No,Bronze,Roadways,9,2016,5,Working Class,ND,5.3423820977101375
0.69,26.0,12.0,640.0,4.52,14.24,312.0,18.759999999999998,4,No,No,Yes,No,Wood,Roadways,11,2015,3,Working Class,KY,6.003837683171123
0.73,7.0,4.0,67.0,3.75,10.27,28.0,14.02,0,No,Yes,Yes,No,Aluminium,Airways,6,2016,3,Wealthy,MO,5.279389356662517
0.38,12.0,6.0,1921.0,4.54,24.3,72.0,28.84,2,No,No,Yes,No,Brass,Roadways,10,2017,1,Working Class,IA,5.618986822951485
0.56,3.0,2.0,16.0,6.04,23.14,6.0,29.18,4,No,Yes,Yes,Yes,Clay,Roadways,10,2017,5,Wealthy,NH,5.641552398120067
0.02,28.0,14.0,1164.0,5.88,10.23,392.0,16.11,-4,No,Yes,No,No,Aluminium,Roadways,8,2017,3,Wealthy,MI,4.685735833827659
0.02,3.0,2.0,18.0,4.52,21.71,6.0,26.23,-2,Yes,Yes,No,No,Brass,Airways,8,2018,4,Working Class,LA,5.129543622299351
0.32,12.0,7.0,342.0,3.97,12.14,84.0,16.11,1,No,No,Yes,No,Aluminium,Airways,9,2016,2,Working Class,WV,5.066700518029204
0.46406779661016956,21.0,14.0,3814.0,6.71,14.9,294.0,21.61,-2,No,No,Yes,Yes,Clay,Waterways,7,2018,1,Working Class,MN,4.994641404341906
0.42,15.0,9.598290598290598,97197.0,35.81,76.37,143.97435897435898,112.18,-1,Yes,Yes,Yes,No,Marble,Airways,7,2018,4,Wealthy,LA,7.427251206795628
0.09,40.0,12.0,2806.0,5.61,21.92,480.0,27.53,2,Yes,No,No,No,Aluminium,Waterways,3,2015,0,Working Class,NM,5.105763639187833
0.38,7.0,4.0,170.0,5.26,11.27,28.0,16.53,-2,No,No,No,No,Brass,Waterways,6,2016,1,Working Class,MO,4.991724269204496
0.84,34.0,8.0,309.0,5.23,11.18,272.0,16.41,3,Yes,No,Yes,No,Wood,Roadways,6,2017,1,Working Class,NC,6.565983022033464
0.31,5.0,5.0,29.0,4.11,16.01,25.0,20.12,-3,Yes,Yes,Yes,No,Wood,Airways,9,2015,1,Working Class,AK,4.958850650946495
0.8,4.0,9.598290598290598,93.0,6.33,10.67,38.39316239316239,17.0,-3,Yes,No,No,No,Marble,Waterways,8,2015,4,Working Class,CA,5.635824781472974
0.4,17.0,6.0,132.0,6.39,12.63,102.0,19.02,0,No,No,No,No,Aluminium,Waterways,9,2018,3,Working Class,MS,5.115115422326775
0.61,27.0,15.0,2038.0,6.86,15.04,405.0,21.9,2,No,No,Yes,No,Aluminium,Roadways,1,2018,3,Working Class,GA,6.0982540412895
0.46406779661016956,15.0,7.0,390.0,4.79,20.53,105.0,25.32,-2,No,Yes,No,No,Aluminium,Roadways,12,2016,3,Working Class,RI,5.863290208384473
0.83,14.0,7.0,1154.0,5.5,12.45,98.0,17.95,0,Yes,Yes,No,Yes,Clay,Airways,7,2019,6,Wealthy,CT,6.299610792692117
