总里程,业务类型,需求类型1,需求类型2,线路编码,是否续签,始发网点,目的网点,交易成功时长,成交对象,车辆长度,车辆吨位,标的展示策略,打包类型,运输等级,调价类型,调价紧急程度,始发地省份名称,目的地省份名称,车辆类型分类,交易对象,地区类型,地区,需求紧急程度,计划靠车前可用分钟数,计划发车前可用分钟数,计划到达前行驶分钟数,计划卸货分钟数,交易运行分钟数,实际靠车前可用分钟数,实际发车前可用分钟数,实际结束前分钟数,调价审核分钟数,线路指导价（不含税）
2603.0,速运,普通,计划,58,非续签,12,20,1308,B,15.0,30.0,DIR,周期流向,一级运输,调高,常规,陕西省,新疆维吾尔自治区,厢式运输车,B,分拨区,4,常规订单,31024.0,31084.0,2881.0,66.0,915.0,30614.716667,30916.366667,9.683333,1.8,10989
45.0,速运,普通,计划,86,已分拨续签,18,17,4,B,5.2,3.0,DIR,周期流向,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,16437.0,16467.0,60.0,41.0,2877.183333,16224.616667,16331.55,4.016667,0.016667,284
45.0,速运,普通,计划,89,已分拨续签,18,17,150,B,5.2,3.0,DIR,周期流向,二级运输,未调整,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,46459.0,46489.0,60.0,17.0,2730.816667,46327.233333,46476.783333,0.55,0.05,257
45.0,速运,普通,计划,89,非续签,18,17,22,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,20623.0,20653.0,60.0,41.0,2081.0,20511.95,20615.616667,0.75,0.516667,282
54.91,重货,普通,计划,7,非续签,4,2,1598,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,38013.0,38193.0,48.0,54.0,1050.0,37876.85,38055.35,164.5,3.266667,403
2544.0,速运,普通,计划,61,已分拨续签,12,20,1562,B,15.0,30.0,DIR,周期流向,一级运输,未调整,常规,陕西省,新疆维吾尔自治区,厢式运输车,B,分拨区,4,常规订单,24006.0,24066.0,2750.0,66.0,1318.333333,23738.516667,23932.55,286.45,0.033333,14055
33.0,速运,普通,计划,24,已分拨续签,5,9,355,B,4.2,1.5,DIR,周期流向,三级运输,未调整,常规,广东省,广东省,厢式运输车,B,业务区,2,常规订单,31734.0,31764.0,60.0,12.0,2525.15,31452.333333,31760.866667,15.083333,0.033333,127
46.81,重货,普通,计划,1,非续签,4,1,1145,B,7.6,7.0,BDC,周期流向,三级运输,未调整,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,31728.0,32268.0,85.0,20.0,1424.0,31693.916667,32220.566667,404.466667,8816.583333,541
33.0,速运,普通,计划,25,已分拨续签,5,9,194,B,4.2,1.5,DIR,周期流向,三级运输,未调整,常规,广东省,广东省,厢式运输车,B,业务区,2,常规订单,27202.0,27232.0,60.0,12.0,2686.616667,27172.4,27225.916667,1.783333,0.033333,111
144.0,重货,普通,临时,93,非续签,19,10,25,C,9.6,14.0,BDC,单边,二级运输,未调整,常规,广东省,广东省,厢式运输车,BC,分拨区,3,常规订单,1056.0,1356.0,150.0,85.0,1051.0,1012.816667,1356.4,35.716667,19.2,1022
54.91,重货,普通,计划,7,非续签,4,2,1318,B,7.6,7.0,BDC,人工,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,23782.0,23842.0,90.0,54.0,6624.0,23615.583333,23845.966667,4327.183333,1.033333,394
55.22,重货,普通,计划,8,非续签,4,2,1,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,29737.0,29877.0,95.0,54.0,996.0,29735.633333,29854.616667,23.8,0.133333,395
241.0,重货,普通,计划,83,已分拨续签,15,16,163,B,9.6,14.0,DIR,周期流向,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,9521.0,9761.0,225.0,41.0,2716.833333,9512.533333,9756.283333,6.166667,0.116667,1357
54.9,重货,普通,计划,16,非续签,4,3,2851,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,41468.0,41608.0,85.0,28.0,1207.0,41352.8,41502.7,85.133333,0.133333,394
45.0,速运,普通,计划,85,已分拨续签,18,17,2691,B,5.2,3.0,DIR,周期流向,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,37870.0,37900.0,55.0,17.0,189.15,37698.483333,37768.966667,3.416667,0.033333,284
144.0,重货,普通,计划,91,已分拨续签,19,10,1102,C,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,C,分拨区,3,常规订单,29440.0,29470.0,146.0,85.0,1778.916667,28664.616667,28669.25,56.566667,0.05,835
241.0,重货,普通,计划,81,已分拨续签,15,16,9994,B,9.6,14.0,DIR,周期流向,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,30155.0,30815.0,225.0,41.0,204.683333,30040.383333,30353.2,7.683333,0.183333,1377
144.0,重货,普通,计划,91,已分拨续签,19,10,1114,C,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,C,分拨区,3,常规订单,52492.0,52522.0,146.0,85.0,1766.65,51682.8,51832.066667,605.966667,0.05,835
144.0,重货,普通,临时,91,非续签,19,10,19,B,9.6,14.0,BDC,单边,二级运输,未调整,常规,广东省,广东省,厢式运输车,BC,分拨区,3,常规订单,781.0,851.0,146.0,85.0,762.0,764.133333,852.55,43.8,0.433333,1022
241.0,速运,普通,计划,78,已分拨续签,14,16,1402,B,9.6,14.0,DIR,周期流向,二级运输,未调整,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,12672.0,12742.0,220.0,41.0,1478.883333,12636.3,12744.1,2.35,0.05,999
45.0,速运,普通,计划,87,非续签,18,17,145,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,26306.0,26346.0,63.0,17.0,3122.0,26194.883333,26331.05,2.733333,0.716667,284
33.0,速运,普通,计划,24,已分拨续签,5,9,157,B,4.2,1.5,DIR,周期流向,三级运输,未调整,常规,广东省,广东省,厢式运输车,B,业务区,2,常规订单,31033.0,31063.0,60.0,12.0,2723.183333,30767.7,31060.283333,1.866667,0.016667,127
45.0,速运,普通,临时,87,非续签,18,17,1004,B,5.2,3.0,DIR,人工,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,1308.0,1338.0,65.0,17.0,324.0,1186.483333,1313.05,0.166667,0.133333,210
241.0,重货,区域发运,计划,81,已分拨续签,15,16,38,B,9.6,14.0,DIR,周期流向,二级运输,调高,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,29484.0,29724.0,225.0,41.0,2843.0,29311.6,29419.733333,8.883333,0.05,1145
144.0,重货,普通,计划,91,已分拨续签,19,10,2942,B,9.6,14.0,DIR,人工,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,特急订单,13439.0,13499.0,146.0,85.0,1460.266667,12927.583333,13312.6,412.9,0.033333,697
2544.0,速运,普通,计划,69,已分拨续签,12,20,109,B,15.0,30.0,DIR,周期流向,一级运输,调高,常规,陕西省,新疆维吾尔自治区,厢式运输车,B,分拨区,4,常规订单,26277.0,26337.0,2790.0,66.0,2771.516667,26071.5,26297.783333,107.033333,0.016667,10609
45.0,速运,普通,计划,86,已分拨续签,18,17,732,B,5.2,3.0,DIR,周期流向,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,30838.0,30868.0,60.0,41.0,2148.333333,30637.35,30709.683333,2.666667,2905.95,284
