总里程,业务类型,需求类型1,需求类型2,线路编码,是否续签,始发网点,目的网点,交易成功时长,成交对象,车辆长度,车辆吨位,标的展示策略,打包类型,运输等级,调价类型,调价紧急程度,始发地省份名称,目的地省份名称,车辆类型分类,交易对象,地区类型,地区,需求紧急程度,计划靠车前可用分钟数,计划发车前可用分钟数,计划到达前行驶分钟数,计划卸货分钟数,交易运行分钟数,实际靠车前可用分钟数,实际发车前可用分钟数,实际结束前分钟数,调价审核分钟数,线路指导价（不含税）
144.0,重货,普通,计划,91,已分拨续签,19,10,1271,B,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,10548.0,10608.0,146.0,85.0,1609.283333,10070.233333,10391.866667,250.3,0.033333,835
54.9,重货,普通,计划,16,非续签,4,3,2644,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,40304.0,40384.0,100.0,28.0,1361.0,40202.133333,40297.883333,1214.05,4.416667,403
33.0,速运,普通,计划,24,已分拨续签,5,9,355,B,4.2,1.5,DIR,周期流向,三级运输,未调整,常规,广东省,广东省,厢式运输车,B,业务区,2,常规订单,49014.0,49044.0,60.0,12.0,2525.15,48943.9,49036.85,1.35,0.033333,127
144.0,重货,普通,计划,91,已分拨续签,19,10,944,B,9.6,14.0,DIR,单边,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,46540.0,46600.0,146.0,85.0,1935.416667,46058.95,46337.133333,175.916667,0.033333,1022
36.0,速运,普通,计划,37,已分拨续签,6,9,1,C,4.2,1.5,DIR,周期流向,三级运输,未调整,常规,广东省,广东省,厢式运输车,C,业务区,2,常规订单,21423.0,21453.0,55.0,12.0,2879.066667,21359.533333,21447.5,2.166667,0.033333,165
36.0,速运,普通,计划,42,非续签,6,9,127,C,4.2,1.5,DIR,人工,三级运输,调低,常规,广东省,广东省,厢式运输车,C,业务区,2,常规订单,33705.0,33735.0,60.0,12.0,10678.0,33654.35,33723.95,3.366667,0.1,177
45.0,速运,普通,计划,90,已分拨续签,18,17,148,B,5.2,3.0,DIR,单边,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,56521.0,56551.0,60.0,41.0,2732.766667,56437.516667,56551.366667,5.266667,0.05,284
2544.0,速运,普通,计划,69,非续签,12,20,67,B,15.0,30.0,DIR,周期流向,一级运输,调高,常规,陕西省,新疆维吾尔自治区,厢式运输车,B,分拨区,4,常规订单,26626.0,26686.0,2790.0,41.0,3519.0,26288.166667,26548.783333,60.45,2.833333,10676
241.0,速运,普通,计划,79,已分拨续签,14,16,158,B,9.6,14.0,DIR,周期流向,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,34235.0,34295.0,214.0,47.0,2722.233333,34169.9,34298.283333,3.666667,0.266667,1182
33.0,速运,普通,计划,27,已分拨续签,5,9,55,B,4.2,1.5,DIR,周期流向,三级运输,未调整,常规,广东省,广东省,厢式运输车,B,业务区,2,常规订单,40837.0,40872.0,55.0,12.0,2826.016667,40766.383333,40868.516667,3.0,0.1,111
45.0,速运,普通,计划,86,已分拨续签,18,17,365,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,49859.0,49889.0,60.0,17.0,2515.083333,49750.2,49845.466667,4.816667,0.033333,280
54.91,重货,普通,计划,7,非续签,4,2,2831,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,52597.0,52777.0,90.0,54.0,1236.0,52372.166667,52612.083333,162.133333,0.15,429
45.0,速运,普通,计划,85,已分拨续签,18,17,2690,B,5.2,3.0,DIR,周期流向,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,49391.0,49421.0,55.0,17.0,190.416667,49300.116667,49358.35,11.133333,0.016667,284
45.0,速运,普通,计划,85,已分拨续签,18,17,63,B,5.2,3.0,DIR,周期流向,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,17832.0,17862.0,55.0,41.0,2817.8,17769.383333,17849.766667,2.183333,0.033333,282
241.0,重货,区域发运,计划,83,已分拨续签,15,16,1487,B,9.6,14.0,DIR,周期流向,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,34381.0,34621.0,225.0,54.0,1393.6,34124.166667,34514.716667,5.883333,0.05,1092
45.0,速运,普通,计划,86,已分拨续签,18,17,1459,B,5.2,3.0,DIR,人工,二级运输,未调整,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,22207.0,22237.0,60.0,17.0,1421.983333,22120.583333,22235.366667,4.5,0.033333,257
33.0,速运,普通,计划,25,已分拨续签,5,9,494,B,4.2,1.5,DIR,周期流向,三级运输,未调整,常规,广东省,广东省,厢式运输车,B,业务区,2,常规订单,25864.0,25894.0,60.0,12.0,2387.116667,25829.1,25889.583333,3.883333,0.033333,111
45.0,速运,普通,计划,85,已分拨续签,18,17,35,B,5.2,3.0,DIR,人工,二级运输,未调整,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,14861.0,14891.0,55.0,17.0,2845.166667,14658.35,14826.166667,14.033333,0.033333,257
45.0,速运,普通,计划,85,已分拨续签,18,17,162,B,5.2,3.0,DIR,人工,二级运输,未调整,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,20785.0,20815.0,55.0,17.0,2719.25,20759.883333,20813.333333,3.566667,0.033333,257
241.0,重货,普通,计划,81,非续签,15,16,154,B,9.6,14.0,DIR,人工,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,22133.0,22553.0,225.0,41.0,379.0,22007.35,22462.433333,2.2,1.133333,1356
54.9,重货,普通,计划,16,非续签,4,3,1798,B,7.6,7.0,BDC,人工,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,26893.0,26973.0,85.0,28.0,2213.0,26733.816667,26958.166667,24.616667,1.266667,368
241.0,速运,普通,计划,72,已分拨续签,14,16,308,B,9.6,14.0,DIR,周期流向,二级运输,调高,常规,河南省,河南省,厢式运输车,B,分拨区,5,特急订单,47584.0,48334.0,243.0,41.0,2572.783333,47494.066667,47629.816667,4.966667,0.033333,1292
46.81,重货,普通,临时,1,非续签,4,1,358,B,7.6,7.0,BDC,人工,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,5806.0,6346.0,55.0,46.0,42.166667,6080.85,6329.083333,385.133333,3.55,540
45.0,速运,普通,计划,86,已分拨续签,18,17,25,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,12154.0,12184.0,60.0,17.0,2855.583333,12074.666667,12093.1,3.466667,0.033333,284
144.0,重货,普通,临时,93,非续签,19,10,50,C,9.6,14.0,BDC,单边,二级运输,未调整,常规,广东省,广东省,厢式运输车,BC,分拨区,3,常规订单,1071.0,1371.0,150.0,85.0,823.0,673.466667,1340.9,78.95,41.466667,1022
241.0,速运,普通,计划,78,已分拨续签,14,16,163,B,9.6,14.0,DIR,周期流向,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,25537.0,25607.0,220.0,41.0,2717.483333,25472.8,25608.766667,6.516667,0.116667,1191
54.9,重货,普通,计划,16,非续签,4,3,2853,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,18367.0,18567.0,85.0,28.0,1207.0,18196.616667,18476.366667,110.9,0.1,443
241.0,重货,普通,计划,83,已分拨续签,15,16,191,B,9.6,14.0,DIR,人工,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,42796.0,43036.0,225.0,41.0,2689.05,42498.9,43020.85,5.6,0.083333,1347
241.0,速运,普通,计划,79,非续签,14,16,45,B,9.6,14.0,DIR,人工,二级运输,未调整,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,17305.0,17365.0,220.0,41.0,2860.0,17219.233333,17367.666667,3.583333,0.866667,1011
241.0,速运,普通,计划,77,已分拨续签,14,16,55,B,9.6,14.0,DIR,人工,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,41571.0,41631.0,220.0,41.0,2825.416667,41539.433333,41635.45,3.816667,0.3,1172
144.0,重货,普通,计划,91,非续签,19,10,8345,C,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,C,分拨区,3,特急订单,8062.0,8122.0,146.0,85.0,855.0,7150.75,7612.55,85.816667,0.266667,939
45.0,速运,普通,计划,85,已分拨续签,18,17,3,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,29345.0,29375.0,55.0,17.0,2877.466667,29281.683333,29374.816667,1.666667,215.9,284
54.91,重货,普通,计划,7,非续签,4,2,1313,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,49643.0,49763.0,90.0,54.0,6510.0,49320.183333,49714.883333,4734.85,1.416667,394
45.0,速运,普通,计划,85,已分拨续签,18,17,36,B,5.2,3.0,DIR,人工,二级运输,未调整,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,27817.0,27847.0,55.0,17.0,2843.983333,27665.383333,27739.083333,1.433333,0.033333,257
241.0,重货,普通,计划,83,非续签,15,16,8417,B,9.6,14.0,DIR,周期流向,二级运输,调高,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,27308.0,27428.0,225.0,41.0,2233.0,27234.683333,27421.516667,4.783333,0.2,1136
241.0,重货,区域发运,计划,83,非续签,15,16,33375,B,9.6,14.0,BDC,周期往返,二级运输,调高,常规,河南省,河南省,厢式运输车,BC,分拨区,5,常规订单,8344.0,8464.0,225.0,41.0,4007.0,8083.616667,8357.066667,16.816667,1.15,970
241.0,速运,普通,计划,78,已分拨续签,14,16,206,B,9.6,14.0,DIR,人工,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,47275.0,47345.0,220.0,41.0,2699.466667,47232.133333,47347.0,9.15,0.083333,1181
54.9,重货,普通,计划,16,非续签,4,3,2644,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,14384.0,14464.0,100.0,28.0,1361.0,14303.716667,14385.633333,95.383333,4.416667,403
241.0,速运,普通,计划,79,已分拨续签,14,16,202,B,9.6,14.0,DIR,人工,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,40168.0,40228.0,220.0,41.0,2678.9,40142.95,40230.483333,3.95,0.05,1172
241.0,速运,普通,计划,78,已分拨续签,14,16,163,B,9.6,14.0,DIR,周期流向,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,12577.0,12647.0,220.0,41.0,2717.483333,12526.833333,12650.316667,2.866667,0.116667,1191
45.0,速运,普通,计划,85,已分拨续签,18,17,935,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,22406.0,22436.0,55.0,17.0,1946.116667,22312.933333,22416.3,4.083333,0.033333,280
45.0,速运,普通,计划,86,已分拨续签,18,17,154,B,5.2,3.0,DIR,人工,二级运输,未调整,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,48224.0,48254.0,60.0,17.0,2726.816667,48110.183333,48202.366667,3.433333,0.033333,257
144.0,重货,普通,计划,91,非续签,19,10,1072,B,9.6,14.0,DIR,人工,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,9136.0,9196.0,146.0,41.0,774.0,8534.2,8611.05,255.6,1.383333,609
45.0,速运,普通,计划,86,非续签,18,17,24,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,15187.0,15217.0,60.0,41.0,2083.0,14978.066667,15156.566667,4.583333,0.483333,282
54.91,重货,普通,计划,7,非续签,4,2,2830,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,45457.0,45577.0,90.0,54.0,1236.0,45100.633333,45352.766667,262.366667,0.15,394
144.0,重货,普通,计划,91,已分拨续签,19,10,47,C,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,C,分拨区,3,常规订单,19343.0,19403.0,146.0,85.0,2832.883333,18573.983333,19404.633333,75.55,0.05,835
45.0,速运,普通,计划,85,已分拨续签,18,17,162,B,5.2,3.0,DIR,人工,二级运输,未调整,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,43825.0,43855.0,55.0,17.0,2719.25,43716.066667,43832.95,1.916667,0.033333,257
50.15,重货,普通,计划,11,非续签,4,2,5757,B,7.6,7.0,BDC,人工,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,46058.0,46298.0,103.0,54.0,1177.0,46000.066667,46214.083333,18.416667,0.166667,452
54.9,重货,普通,计划,15,非续签,4,3,4,B,7.6,7.0,BDC,人工,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,19757.0,19847.0,85.0,28.0,524.0,19510.266667,19840.516667,88.55,0.1,394
144.0,重货,普通,计划,91,非续签,19,10,16,C,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,C,分拨区,3,常规订单,7976.0,8036.0,146.0,85.0,5081.0,7721.066667,7919.583333,64.033333,2.133333,835
50.15,重货,普通,计划,11,已分拨续签,4,2,97,B,7.6,7.0,DIR,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,B,业务区,1,常规订单,36010.0,36250.0,103.0,54.0,2784.45,35863.566667,35911.1,10.016667,0.033333,442
241.0,速运,普通,计划,72,非续签,14,16,11456,B,9.6,14.0,BDC,周期流向,二级运输,调低,常规,河南省,河南省,厢式运输车,BC,分拨区,5,常规订单,10113.0,10863.0,220.0,41.0,2125.0,10071.683333,10209.25,77.383333,0.15,1377
241.0,速运,普通,计划,79,已分拨续签,14,16,202,B,9.6,14.0,DIR,人工,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,15688.0,15748.0,220.0,41.0,2678.9,15664.266667,15749.633333,3.25,0.05,1172
45.0,速运,普通,计划,90,已分拨续签,18,17,162,B,5.2,3.0,DIR,周期流向,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,37800.0,37830.0,60.0,41.0,2718.533333,37755.9,37829.916667,1.266667,0.033333,284
144.0,重货,普通,计划,91,已分拨续签,19,10,2216,B,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,34010.0,34040.0,146.0,85.0,663.866667,33731.95,33752.95,443.0,0.05,835
45.0,速运,普通,计划,88,已分拨续签,18,17,1461,B,5.2,3.0,DIR,周期流向,二级运输,未调整,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,17525.0,17555.0,60.0,17.0,1419.3,17431.4,17502.583333,1240.933333,0.033333,257
45.0,速运,普通,计划,88,已分拨续签,18,17,342,B,5.2,3.0,DIR,周期流向,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,特急订单,23571.0,23601.0,60.0,17.0,2537.616667,23569.85,23601.983333,4.166667,0.033333,280
54.9,重货,普通,计划,16,非续签,4,3,1310,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,13939.0,14139.0,85.0,28.0,6869.0,13518.75,13658.8,198.233333,1.15,394
54.91,重货,普通,计划,7,非续签,4,2,2830,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,38257.0,38377.0,90.0,54.0,1236.0,38109.333333,38362.8,2287.366667,0.15,394
54.9,重货,普通,计划,2,非续签,4,1,5687,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,36888.0,37008.0,90.0,46.0,1247.0,36506.483333,36732.033333,759.416667,0.15,394
144.0,重货,普通,计划,93,已分拨续签,19,10,124,C,9.6,14.0,DIR,人工,二级运输,调高,常规,广东省,广东省,厢式运输车,C,分拨区,3,常规订单,12105.0,12405.0,150.0,85.0,6264.0,11707.266667,12105.466667,1359.333333,4.316667,935
144.0,重货,普通,计划,93,已分拨续签,19,10,2085,B,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,40001.0,40031.0,150.0,85.0,795.45,39706.166667,40020.716667,62.483333,0.033333,876
241.0,速运,普通,计划,72,非续签,14,16,19,B,9.6,14.0,DIR,人工,二级运输,调高,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,15966.0,16716.0,220.0,41.0,1547.0,15922.216667,16106.65,73.766667,1.016667,1398
2544.0,速运,普通,计划,61,已分拨续签,12,20,61,B,15.0,30.0,DIR,周期流向,一级运输,未调整,常规,陕西省,新疆维吾尔自治区,厢式运输车,B,分拨区,4,常规订单,29020.0,29080.0,2750.0,66.0,2819.183333,28420.8,28649.65,4.75,0.016667,14055
54.91,重货,普通,计划,7,非续签,4,2,4706,B,7.6,7.0,BDC,周期流向,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,36876.0,36886.0,90.0,54.0,1185.0,36596.283333,36744.533333,214.983333,68.833333,403
144.0,重货,普通,计划,93,已分拨续签,19,10,137,B,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,特急订单,18040.0,18280.0,150.0,85.0,2743.3,18031.15,18244.9,1103.083333,0.05,876
2544.0,速运,普通,计划,62,已分拨续签,12,20,10223,B,15.0,30.0,DIR,周期流向,一级运输,调高,常规,陕西省,新疆维吾尔自治区,厢式运输车,B,分拨区,4,常规订单,37425.0,37485.0,2750.0,66.0,1855.0,36972.65,37490.0,8.466667,1.016667,10639
45.0,速运,普通,计划,88,已分拨续签,18,17,1551,B,5.2,3.0,DIR,周期流向,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,27369.0,27539.0,60.0,17.0,1329.283333,27379.55,27454.416667,2.783333,0.033333,284
45.0,速运,普通,计划,87,已分拨续签,18,17,10,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,27557.0,27597.0,63.0,17.0,2870.483333,27402.283333,27580.65,3.066667,94.316667,284
36.0,速运,普通,计划,42,已分拨续签,6,9,1,C,4.2,1.5,DIR,周期流向,三级运输,未调整,常规,广东省,广东省,厢式运输车,C,业务区,2,常规订单,43616.0,43646.0,60.0,12.0,2880.033333,43588.966667,43628.183333,1.983333,0.033333,165
45.0,速运,普通,计划,88,已分拨续签,18,17,341,B,5.2,3.0,DIR,周期流向,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,特急订单,20710.0,20720.0,60.0,17.0,2539.933333,20703.683333,20720.1,4.233333,0.016667,280
54.9,重货,普通,计划,3,非续签,4,1,1804,B,7.6,7.0,BDC,人工,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,29692.0,29892.0,115.0,46.0,2214.0,29662.066667,29807.716667,171.966667,0.383333,368
2544.0,速运,普通,临时,59,非续签,12,20,88,C,15.0,30.0,BDC,单边,一级运输,调高,常规,陕西省,新疆维吾尔自治区,厢式运输车,BC,分拨区,4,常规订单,921.0,981.0,2690.0,66.0,753.0,732.4,982.333333,131.25,0.133333,10405
45.0,速运,普通,计划,85,已分拨续签,18,17,10250,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,23523.0,23553.0,55.0,41.0,3177.0,23333.066667,23518.0,2.6,1593.533333,284
144.0,重货,普通,计划,91,非续签,19,10,318,B,9.6,14.0,DIR,人工,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,16585.0,16655.0,146.0,85.0,3228.0,15849.55,16063.366667,476.533333,2511.316667,835
144.0,重货,普通,计划,93,已分拨续签,19,10,124,C,9.6,14.0,DIR,人工,二级运输,调高,常规,广东省,广东省,厢式运输车,C,分拨区,3,常规订单,40956.0,41196.0,150.0,85.0,6322.0,40770.75,40924.533333,131.666667,2.933333,876
2544.0,速运,普通,临时,63,非续签,12,20,6,C,15.0,30.0,BDC,单边,一级运输,调低,紧急,陕西省,新疆维吾尔自治区,厢式运输车,BC,分拨区,4,紧急订单,459.0,519.0,2750.0,66.0,455.0,489.783333,505.083333,88.366667,0.033333,12720
144.0,重货,普通,计划,91,已分拨续签,19,10,1102,C,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,C,分拨区,3,常规订单,33760.0,33790.0,146.0,85.0,1778.916667,33042.0,33136.65,1386.95,0.05,835
144.0,重货,普通,计划,91,非续签,19,10,1090,B,9.6,14.0,DIR,人工,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,23895.0,23955.0,146.0,41.0,736.0,23650.866667,23894.933333,57.516667,126.883333,609
