Artist Reputation,Height,Width,Weight,Price Of Sculpture,Base Shipping Price,Area,Combined_Price,Duration,International,Express Shipment,Installation Included,Fragile,Material,Transport,Month,Year,Week,Customer Information,Customer Location,distance_sum,Cost
0.46,12.0,7.0,880.0,4.95,17.35,84.0,22.3,-3,Yes,Yes,No,Yes,Clay,Airways,7,2018,2,Working Class,IL,10587424.29355826,5.547050688861243
0.64,21.0,7.0,952.0,6.22,18.46,147.0,24.68,1,No,Yes,No,Yes,Clay,Airways,11,2017,6,Working Class,TN,10587475.02644174,6.108625166881559
0.76,22.0,6.0,876.0,5.52,13.77,132.0,19.29,2,Yes,No,Yes,No,Aluminium,Waterways,6,2018,5,Working Class,NV,10587539.446441738,6.067244335283908
0.94,23.0,9.0,904.0,5.07,17.85,207.0,22.92,1,Yes,No,No,No,Aluminium,Airways,3,2015,3,Wealthy,MN,10587556.346441738,6.745506901117262
0.68,46.0,12.0,873.0,6.5,12.32,552.0,18.82,2,No,Yes,Yes,No,Brass,Roadways,8,2016,5,Wealthy,DC,10587617.486441739,6.505784060128229
0.49,40.0,16.0,867.0,6.21,11.77,640.0,17.98,-3,Yes,No,Yes,No,Wood,Waterways,1,2019,1,Wealthy,VT,10587619.02644174,5.703449085754963
0.4618504347826087,25.0,7.0,960.0,6.05,23.19,175.0,29.240000000000002,0,No,No,No,Yes,Clay,Roadways,1,2019,0,Working Class,FL,10587625.678274784,5.216456340067716
0.4618504347826087,27.0,13.0,877.0,7.0,10.42,351.0,17.42,3,Yes,No,Yes,No,Wood,Waterways,12,2016,0,Working Class,AK,10587638.538274784,5.424509391785796
0.4618504347826087,13.0,6.0,879.0,7.08,14.91,78.0,21.990000000000002,-2,No,No,No,No,Bronze,Roadways,9,2018,4,Working Class,MA,10587649.018274782,5.868957872615185
0.26,23.0,7.0,877.0,6.87,21.3,161.0,28.17,1,No,No,No,Yes,Clay,Roadways,1,2019,1,Working Class,AE,10587659.933558261,5.346774141816231
0.19,34.0,6.0,872.0,5.41,21.09,204.0,26.5,-4,No,No,No,No,Aluminium,Roadways,9,2017,6,Wealthy,AA,10587706.51355826,5.087472870820844
0.4618504347826087,47.0,15.0,924.0,4.36,11.39,705.0,15.75,-4,No,No,Yes,No,Wood,Roadways,2,2016,4,Working Class,VT,10587763.938274782,4.775250456359692
0.3,21.0,9.617647058823529,904.0,4.3,16.37,201.97058823529412,20.67,-4,No,Yes,No,No,Brass,Roadways,4,2016,3,Working Class,TN,10587887.653558262,5.035132765696643
0.38,5.0,4.0,959.0,5.18,20.28,20.0,25.46,2,No,No,No,No,Marble,Waterways,11,2016,5,Working Class,AE,10587957.55355826,5.47348841931315
0.45,17.0,16.0,964.0,5.52,20.35,272.0,25.87,0,No,Yes,No,No,Aluminium,Airways,8,2018,1,Wealthy,GA,10587960.69355826,5.715019106582188
0.64,14.0,6.0,865.0,5.58,16.11,84.0,21.689999999999998,2,No,Yes,No,Yes,Clay,Airways,2,2019,2,Wealthy,MS,10587968.16644174,5.983180327520285
0.18,20.0,8.0,937.0,4.6,16.6,160.0,21.200000000000003,1,No,Yes,No,No,Aluminium,Roadways,6,2019,0,Working Class,IN,10588071.293558262,5.020717629437768
0.85,20.0,9.0,908.0,4.49,24.18,180.0,28.67,0,No,Yes,No,No,Aluminium,Airways,10,2016,0,Wealthy,OK,10588077.94644174,6.573065452923014
0.78,12.0,8.0,895.0,4.34,22.35,96.0,26.69,4,No,No,No,No,Bronze,Roadways,1,2019,5,Wealthy,VA,10588291.40644174,6.1996365824920465
0.33,14.0,7.0,920.0,4.08,18.35,98.0,22.43,-2,No,No,No,Yes,Brass,Roadways,4,2016,3,Working Class,MD,10588336.293558262,5.224939896743261
0.28,23.0,15.0,968.0,5.51,15.44,345.0,20.95,3,Yes,No,No,No,Aluminium,Roadways,1,2015,4,Working Class,MT,10588368.513558261,5.332138915023547
0.9,13.0,7.0,867.0,5.6,22.93,91.0,28.53,1,Yes,No,Yes,Yes,Clay,Waterways,1,2016,6,Working Class,AZ,10588419.62644174,6.528177191825819
0.39,19.0,8.0,972.0,5.61,24.47,152.0,30.08,2,No,Yes,No,Yes,Clay,Roadways,12,2017,6,Wealthy,DC,10588490.993558262,5.783548220902539
0.69,17.0,6.0,961.0,4.91,13.01,102.0,17.92,2,No,No,Yes,No,Bronze,Roadways,1,2015,1,Working Class,IA,10588598.686441738,5.744028303224727
0.61,8.0,4.0,905.0,8.18,18.07,32.0,26.25,1,No,Yes,No,No,Brass,Airways,1,2017,0,Working Class,AA,10588605.166441739,6.139065251173547
0.89,36.0,14.0,948.0,4.75,19.0,504.0,23.75,0,No,No,No,No,Wood,Roadways,6,2015,4,Working Class,HI,10588688.46644174,6.668914163060628
0.6,32.0,14.0,974.0,6.14,21.13,448.0,27.27,-3,No,No,Yes,No,Wood,Roadways,9,2017,3,Working Class,OH,10588712.086441739,6.181919603798659
0.4618504347826087,21.766204081632655,3.0,859.0,6.93,15.61,65.29861224489797,22.54,-1,No,No,No,No,Stone,Waterways,6,2016,3,Working Class,CO,10588727.738274783,5.364339162090034
0.87,22.0,7.0,925.0,4.21,18.0,154.0,22.21,-4,Yes,No,Yes,No,Aluminium,Waterways,1,2017,5,Working Class,AE,10588764.426441738,6.262540752177494
0.4618504347826087,18.0,8.0,972.0,6.78,19.37,144.0,26.150000000000002,3,Yes,No,No,No,Aluminium,Waterways,3,2015,6,Working Class,KY,10588818.298274783,6.0198576216092
0.23,21.766204081632655,13.0,855.0,6.42,23.95,282.9606530612245,30.369999999999997,0,Yes,No,No,No,Wood,Waterways,1,2018,0,Wealthy,NH,10588829.39355826,5.438861611540345
0.16,21.766204081632655,11.0,973.0,6.17,22.07,239.4282448979592,28.240000000000002,-3,No,No,No,No,Aluminium,Roadways,3,2017,5,Working Class,TN,10588875.653558262,5.020189506901067
0.82,9.0,5.0,857.0,6.28,10.94,45.0,17.22,4,No,Yes,No,No,Bronze,Roadways,7,2018,6,Wealthy,WA,10588932.04644174,6.271423119976424
0.39,15.0,7.0,935.0,3.92,24.38,105.0,28.299999999999997,2,Yes,No,Yes,Yes,Clay,Waterways,6,2015,5,Working Class,AZ,10588988.913558261,5.634861029189779
0.43,28.0,9.0,973.0,6.89,12.97,252.0,19.86,-1,Yes,No,Yes,No,Aluminium,Waterways,3,2015,5,Working Class,OH,10589027.95355826,5.468397636919637
0.24,28.0,11.0,896.0,3.83,15.43,308.0,19.259999999999998,3,No,No,No,No,Aluminium,Roadways,1,2017,5,Working Class,OH,10589071.13355826,5.044650172683533
0.68,24.0,6.0,972.0,5.1,23.97,144.0,29.07,-3,No,Yes,No,No,Brass,Roadways,9,2016,4,Working Class,MN,10589080.08644174,6.0726988522394985
0.65,37.0,14.0,958.0,4.41,13.54,518.0,17.95,-4,Yes,No,No,No,Wood,Waterways,2,2016,2,Working Class,TN,10589107.986441739,5.677917508461147
0.08,8.0,5.0,873.0,4.41,21.2,40.0,25.61,0,Yes,Yes,No,No,Brass,Airways,2,2018,2,Working Class,ID,10589130.653558262,5.227411953032262
0.06,17.0,8.0,972.0,5.34,12.31,136.0,17.65,-4,No,No,Yes,Yes,Clay,Roadways,5,2018,3,Working Class,ID,10589241.173558261,4.8841646300423065
0.4618504347826087,40.0,15.0,961.0,4.28,24.45,600.0,28.73,2,Yes,No,No,No,Wood,Waterways,7,2016,5,Working Class,KY,10589290.598274782,5.256713816692962
0.81,16.0,8.0,852.0,5.6,18.01,128.0,23.61,0,No,No,Yes,Yes,Clay,Waterways,11,2015,0,Wealthy,SC,10589329.94644174,6.323013972265978
0.11,16.0,7.0,934.0,3.9,11.7,112.0,15.6,2,No,No,Yes,Yes,Clay,Roadways,12,2018,5,Working Class,FL,10589465.69355826,4.9662653463603155
0.98,21.0,9.0,860.0,5.11,12.58,189.0,17.69,0,No,No,No,No,Aluminium,Roadways,9,2018,1,Wealthy,WA,10589510.326441739,6.4337436283388625
0.8,16.0,8.0,885.0,8.27,18.76,128.0,27.03,1,Yes,No,Yes,Yes,Clay,Waterways,2,2016,5,Working Class,TX,10589551.12644174,7.04104414219878
0.4618504347826087,14.0,8.0,898.0,3.53,19.4,112.0,22.93,2,No,No,No,Yes,Clay,Roadways,8,2018,1,Working Class,AA,10589567.478274783,5.627261336748458
0.4618504347826087,41.0,9.617647058823529,850.0,7.0,14.42,394.3235294117647,21.42,1,No,No,Yes,No,Wood,Roadways,11,2016,4,Working Class,ND,10589570.538274784,6.718409107251218
0.99,10.0,4.0,971.0,5.34,11.82,40.0,17.16,-1,No,Yes,No,No,Brass,Airways,4,2019,2,Wealthy,AP,10589596.486441739,6.221106935162021
0.35,21.766204081632655,10.0,966.0,4.31,14.74,217.66204081632654,19.05,-1,Yes,No,No,No,Brass,Roadways,7,2019,0,Working Class,KS,10589601.11355826,5.26346708911229
0.53,30.0,6.0,840.0,5.94,14.62,180.0,20.56,-4,Yes,No,No,No,Aluminium,Waterways,9,2018,0,Working Class,GA,10589869.70644174,5.452110839727453
0.4618504347826087,21.0,8.0,843.0,5.17,10.43,168.0,15.6,-4,Yes,Yes,Yes,No,Aluminium,Airways,7,2019,5,Wealthy,RI,10589891.218274783,5.747161197958146
0.29,9.0,5.0,973.0,4.45,13.46,45.0,17.91,-4,Yes,Yes,Yes,No,Brass,Airways,7,2019,5,Wealthy,ID,10589926.03355826,5.341041550757815
0.59,13.0,7.0,970.0,4.3,17.93,91.0,22.23,0,No,No,Yes,Yes,Clay,Roadways,5,2017,1,Working Class,LA,10589940.746441739,5.656306446631499
0.44,10.0,4.0,885.0,3.53,14.45,40.0,17.98,0,No,Yes,Yes,No,Bronze,Roadways,4,2015,6,Working Class,AZ,10589943.433558261,5.31453514457087
0.57,13.0,9.617647058823529,987.0,5.41,17.31,125.02941176470588,22.72,1,No,No,No,Yes,Clay,Roadways,1,2017,2,Working Class,IN,10590022.166441739,5.621378648401385
0.76,21.766204081632655,11.0,985.0,5.7,23.36,239.4282448979592,29.06,3,No,No,Yes,Yes,Clay,Roadways,2,2017,1,Working Class,AL,10590027.24644174,6.491679071761534
0.7,8.0,5.0,987.0,6.05,24.03,40.0,30.080000000000002,4,No,No,No,No,Brass,Roadways,1,2017,0,Working Class,SD,10590062.80644174,6.1421234233930955
0.58,28.0,17.0,896.0,3.32,17.24,476.0,20.56,-3,No,No,Yes,No,Wood,Roadways,12,2017,2,Working Class,AP,10590289.346441738,5.845687047494641
0.63,37.0,9.617647058823529,854.0,4.27,23.12,355.85294117647055,27.39,-1,No,No,Yes,No,Wood,Roadways,5,2019,5,Working Class,VA,10590351.326441739,6.296501400381653
0.87,24.0,7.0,986.0,5.9,21.92,168.0,27.82,1,No,Yes,Yes,No,Aluminium,Roadways,3,2017,2,Wealthy,AZ,10590367.88644174,6.865223490263159
0.17,12.0,9.617647058823529,841.0,5.23,10.72,115.41176470588235,15.950000000000001,-3,Yes,No,No,Yes,Clay,Waterways,7,2017,3,Wealthy,HI,10590377.77355826,4.920199879958109
0.27,18.0,11.0,991.0,5.66,21.43,198.0,27.09,4,Yes,No,Yes,No,Aluminium,Waterways,4,2018,2,Working Class,PA,10590384.69355826,5.4636622991348744
0.26,20.0,10.0,958.0,3.75,22.36,200.0,26.11,0,No,No,No,No,Aluminium,Roadways,8,2019,5,Working Class,AP,10590453.53355826,5.188725689917942
0.94,15.0,8.0,982.0,5.15,13.53,120.0,18.68,-4,Yes,No,Yes,Yes,Clay,Waterways,8,2016,3,Working Class,CT,10590572.42644174,6.274479495459582
0.63,23.0,10.0,893.0,3.25,12.06,230.0,15.31,-4,No,No,Yes,No,Aluminium,Airways,4,2018,6,Working Class,AZ,10590639.326441739,5.508537772571756
0.17,21.766204081632655,7.0,992.0,6.11,20.7,152.36342857142859,26.81,3,No,Yes,No,No,Aluminium,Roadways,1,2018,6,Working Class,DE,10590642.71355826,5.216673377507527
0.51,29.0,9.0,846.0,4.39,11.62,261.0,16.009999999999998,0,No,No,No,No,Aluminium,Roadways,9,2018,4,Working Class,WY,10590704.246441739,5.266517053998239
0.38,9.0,5.0,950.0,3.45,11.61,45.0,15.059999999999999,0,No,No,Yes,No,Brass,Roadways,5,2019,1,Working Class,MS,10590720.993558262,5.150976778649327
0.61,17.0,10.0,995.0,5.9,23.21,170.0,29.11,0,Yes,No,No,No,Aluminium,Airways,10,2017,6,Working Class,MT,10590756.04644174,5.986150452284213
0.4618504347826087,24.0,6.0,835.0,5.02,14.0,144.0,19.02,-1,No,No,No,No,Aluminium,Roadways,9,2016,1,Working Class,VA,10590843.918274783,5.266517053998239
0.32,28.0,16.0,836.0,6.91,17.16,448.0,24.07,-1,Yes,No,No,No,Wood,Waterways,6,2018,3,Wealthy,AZ,10590885.173558261,5.335998433515726
0.22,18.0,11.0,891.0,3.2,14.96,198.0,18.16,-4,Yes,No,Yes,No,Aluminium,Waterways,2,2017,4,Working Class,IL,10590919.27355826,4.973002652622701
0.24,12.0,7.0,859.0,3.82,19.7,84.0,23.52,2,Yes,No,No,Yes,Clay,Roadways,11,2018,5,Working Class,NY,10590938.353558261,5.423009810505355
0.74,19.0,7.0,929.0,9.38,10.47,133.0,19.85,-2,No,No,No,Yes,Brass,Roadways,9,2018,5,Working Class,MT,10590940.486441739,6.84841920163559
0.75,27.0,12.0,923.0,9.48,10.88,324.0,20.36,1,No,No,Yes,No,Aluminium,Waterways,5,2015,0,Working Class,OK,10590986.166441739,7.163606069064207
0.32,9.0,5.0,834.0,6.94,16.57,45.0,23.51,0,No,No,No,No,Bronze,Roadways,5,2015,3,Wealthy,VA,10591133.333558261,5.2873069740279846
0.03,14.0,6.0,835.0,5.52,23.0,84.0,28.52,4,No,No,Yes,Yes,Clay,Airways,5,2017,4,Working Class,AE,10591155.25355826,5.216022123821206
0.32,9.0,5.0,844.0,4.17,16.01,45.0,20.18,-4,Yes,No,Yes,No,Brass,Airways,2,2019,1,Working Class,MD,10591360.77355826,5.238885782778611
0.4618504347826087,22.0,6.0,969.0,8.88,11.9,132.0,20.78,-2,No,Yes,No,Yes,Clay,Airways,10,2018,3,Working Class,HI,10591521.518274782,6.5023851663617585
0.69,11.0,8.0,827.0,6.22,20.2,88.0,26.419999999999998,1,No,No,No,Yes,Clay,Waterways,1,2019,2,Working Class,AA,10591565.10644174,6.029338199536063
0.15,11.0,6.0,872.0,3.28,14.18,66.0,17.46,-2,No,No,No,No,Brass,Waterways,1,2015,5,Working Class,TX,10591636.55355826,4.857561811661286
0.01,4.0,4.0,965.0,3.64,10.97,16.0,14.610000000000001,-3,Yes,No,Yes,No,Stone,Roadways,1,2015,1,Wealthy,AE,10591723.69355826,5.264915689914006
0.03,19.0,6.0,916.0,3.02,11.85,114.0,14.87,3,No,No,No,Yes,Clay,Roadways,3,2015,5,Working Class,NH,10591728.953558262,4.806967519282702
0.89,40.0,14.0,919.0,3.02,19.53,560.0,22.55,1,No,No,No,No,Wood,Roadways,3,2017,1,Working Class,MT,10591790.186441738,6.744706797531768
0.48,21.766204081632655,12.0,872.0,3.09,19.01,261.19444897959187,22.1,4,Yes,Yes,No,No,Brass,Roadways,3,2019,4,Wealthy,AA,10591824.326441739,5.907185796727432
0.48,6.0,4.0,1004.0,6.61,15.45,24.0,22.06,-1,No,No,Yes,No,Brass,Roadways,6,2015,1,Working Class,OK,10591951.44644174,5.602893428542784
0.4,14.0,8.0,860.0,3.3,24.57,112.0,27.87,-1,No,Yes,No,Yes,Clay,Roadways,2,2015,0,Wealthy,KY,10592037.333558261,5.610972500065717
0.45,20.0,11.0,1007.0,5.4,17.27,220.0,22.67,3,No,No,No,No,Aluminium,Roadways,2,2018,4,Working Class,WA,10592230.99355826,5.550242719287699
0.44,23.0,8.0,819.0,5.64,23.82,184.0,29.46,4,No,No,Yes,No,Aluminium,Roadways,11,2018,0,Wealthy,TX,10592338.89355826,5.889819343345781
0.01,29.0,7.0,1004.0,6.05,17.5,203.0,23.55,1,No,Yes,No,No,Aluminium,Roadways,6,2016,6,Working Class,MA,10592458.933558261,4.8773324467818355
0.18,14.0,8.0,823.0,5.12,12.52,112.0,17.64,-4,Yes,No,Yes,Yes,Clay,Waterways,2,2016,1,Working Class,MI,10592480.41355826,4.952087680470843
0.71,45.0,9.617647058823529,832.0,4.33,10.78,432.7941176470588,15.11,-4,Yes,Yes,No,No,Wood,Airways,5,2018,2,Wealthy,IL,10592498.12644174,6.006106823844852
0.01,15.0,6.0,834.0,4.39,19.1,90.0,23.490000000000002,1,Yes,No,No,Yes,Clay,Airways,3,2016,0,Wealthy,SC,10592637.11355826,5.13720920615328
0.05,24.0,8.0,824.0,5.16,18.83,192.0,23.99,4,No,No,No,No,Aluminium,Airways,5,2016,0,Working Class,AE,10592648.153558262,4.970715670095012
0.27,24.0,9.0,992.0,3.94,11.98,216.0,15.92,4,Yes,No,Yes,No,Aluminium,Waterways,6,2016,5,Working Class,MT,10592758.11355826,5.153175980878366
0.72,13.0,7.0,822.0,6.94,10.14,91.0,17.080000000000002,-2,No,No,No,Yes,Clay,Roadways,1,2019,3,Working Class,PA,10592811.166441739,5.668258918587155
0.8,35.0,10.0,822.0,6.84,24.37,350.0,31.21,4,Yes,No,No,No,Wood,Waterways,7,2017,5,Working Class,ID,10592877.486441739,6.9012239965159505
0.19,18.0,9.617647058823529,828.0,4.33,22.39,173.11764705882354,26.72,-1,No,Yes,No,Yes,Clay,Airways,1,2018,5,Working Class,PA,10592956.03355826,5.2631046107922925
0.41,11.0,8.0,815.0,5.52,21.32,88.0,26.84,-3,No,No,Yes,Yes,Clay,Waterways,7,2018,6,Working Class,AR,10592962.513558261,5.482012978895135
0.14,22.0,8.0,820.0,6.92,23.62,176.0,30.54,-2,Yes,No,Yes,No,Aluminium,Waterways,9,2017,5,Working Class,ND,10593138.83355826,5.198165484597595
0.8,7.0,4.0,990.0,3.81,18.21,28.0,22.02,4,No,Yes,No,No,Marble,Airways,4,2016,0,Working Class,OK,10593198.986441739,5.844094990075883
0.88,15.0,7.0,1007.0,6.87,15.26,105.0,22.13,0,Yes,No,No,No,Bronze,Roadways,3,2019,5,Wealthy,NE,10593303.846441738,6.576664536113334
0.13,12.0,8.0,816.0,5.24,24.07,96.0,29.310000000000002,4,No,No,No,Yes,Clay,Roadways,5,2018,0,Wealthy,DE,10593435.07355826,5.312811812698489
0.65,10.0,4.0,1000.0,8.02,12.69,40.0,20.71,1,No,No,No,No,Brass,Airways,5,2018,3,Working Class,CT,10593442.146441739,6.111289940176331
0.72,12.0,6.0,1008.0,4.61,17.74,72.0,22.349999999999998,4,No,Yes,No,No,Bronze,Roadways,5,2019,2,Working Class,NE,10593583.406441737,5.960567099280103
0.64,26.0,11.0,830.0,3.78,20.32,286.0,24.1,3,No,Yes,No,No,Aluminium,Roadways,8,2017,2,Wealthy,NM,10593761.066441739,6.117524346768715
0.4618504347826087,33.0,9.617647058823529,997.0,3.68,12.43,317.38235294117646,16.11,-2,No,No,No,No,Wood,Waterways,7,2017,2,Wealthy,AZ,10593768.498274783,4.677490847567717
0.19,21.766204081632655,8.0,1005.0,4.22,17.76,174.12963265306124,21.98,1,No,No,No,No,Aluminium,Roadways,7,2018,0,Working Class,FL,10593833.65355826,5.004818408774691
0.4618504347826087,27.0,16.0,827.0,3.75,23.38,432.0,27.13,2,Yes,Yes,Yes,No,Wood,Airways,1,2015,1,Wealthy,MI,10594001.138274781,6.583436884293453
0.38,18.0,13.0,1021.0,6.06,18.38,234.0,24.439999999999998,3,Yes,No,Yes,Yes,Clay,Waterways,9,2015,3,Wealthy,UT,10594034.853558261,5.78493226159897
0.01,16.0,7.0,1002.0,4.15,22.03,112.0,26.18,1,No,No,No,Yes,Clay,Roadways,10,2015,5,Working Class,HI,10594078.95355826,5.058154810064233
0.5,26.0,7.0,818.0,4.25,13.25,182.0,17.5,0,No,No,No,No,Aluminium,Roadways,2,2017,0,Wealthy,KY,10594111.666441739,5.379113636376126
0.48,18.0,9.0,837.0,3.12,10.98,162.0,14.100000000000001,-2,Yes,No,Yes,No,Aluminium,Waterways,5,2018,4,Working Class,MI,10594621.486441739,5.2107967690185415
0.77,20.0,10.0,806.0,6.39,18.75,200.0,25.14,0,Yes,No,No,Yes,Clay,Waterways,11,2017,4,Working Class,AZ,10594722.08644174,6.341681180985668
0.06,17.0,12.0,1017.0,4.89,19.05,204.0,23.94,0,No,Yes,Yes,No,Brass,Airways,3,2016,4,Wealthy,OK,10594727.853558261,5.153233789358886
0.41,30.0,6.0,1027.0,5.82,12.86,180.0,18.68,1,No,No,Yes,No,Aluminium,Roadways,12,2016,3,Working Class,MA,10594885.19355826,5.368123240791999
0.4618504347826087,17.0,6.0,980.0,10.41,15.62,102.0,26.03,-2,Yes,No,Yes,Yes,Clay,Waterways,6,2017,2,Working Class,CO,10594998.138274781,6.170677109316224
0.47,10.0,9.617647058823529,1027.0,6.62,14.3,96.17647058823529,20.92,1,No,No,No,No,Brass,Roadways,1,2017,2,Wealthy,ME,10595139.526441738,5.549270618501514
0.47,15.0,8.0,802.0,5.15,13.75,120.0,18.9,1,Yes,No,Yes,Yes,Clay,Waterways,8,2015,4,Working Class,SC,10595147.006441738,5.501666290534067
0.05,4.0,9.617647058823529,804.0,6.36,22.3,38.470588235294116,28.66,1,Yes,No,No,No,Brass,Waterways,9,2016,3,Working Class,GA,10595222.593558261,5.339651230041014
0.62,23.0,15.0,798.0,5.9,17.37,345.0,23.270000000000003,0,No,No,Yes,No,Wood,Roadways,10,2016,1,Working Class,AL,10595546.62644174,5.962138717726154
0.38,8.0,5.0,799.0,6.62,16.54,40.0,23.16,0,No,Yes,Yes,No,Brass,Airways,5,2017,5,Working Class,DE,10595547.03355826,5.4195167819498815
0.71,22.0,9.617647058823529,831.0,3.12,20.38,211.58823529411762,23.5,3,No,Yes,Yes,No,Aluminium,Airways,2,2016,0,Wealthy,NC,10595577.926441738,6.278315023879904
0.3,27.0,12.0,1029.0,4.92,14.94,324.0,19.86,1,No,Yes,Yes,No,Aluminium,Airways,8,2018,4,Wealthy,AE,10595912.47355826,5.478970866241294
0.93,15.0,6.0,963.0,11.18,16.66,90.0,27.84,1,No,No,Yes,Yes,Clay,Roadways,1,2019,0,Working Class,IN,10595943.526441738,6.2485456494498886
0.4618504347826087,20.0,12.0,823.0,3.13,15.27,240.0,18.4,2,Yes,No,Yes,No,Aluminium,Roadways,10,2018,1,Working Class,IA,10596202.198274784,6.541131004189737
0.56,22.0,12.0,1034.0,6.52,10.28,264.0,16.799999999999997,0,Yes,Yes,Yes,No,Brass,Airways,2,2019,1,Wealthy,PA,10596211.22644174,6.063924733837243
0.04,10.0,4.0,809.0,4.02,20.55,40.0,24.57,2,No,No,No,No,Brass,Waterways,7,2017,6,Wealthy,MO,10596543.233558262,5.197612662426405
0.26,21.0,7.0,1008.0,3.08,22.59,147.0,25.67,-4,No,Yes,No,Yes,Brass,Airways,6,2019,0,Working Class,TX,10596977.293558262,5.267445702880949
0.38,13.0,6.0,1034.0,4.63,20.25,78.0,24.88,0,No,No,No,No,Brass,Roadways,7,2015,3,Working Class,MI,10596999.63355826,5.392399519909175
0.92,30.0,14.0,796.0,5.02,15.62,420.0,20.64,-3,Yes,No,No,No,Wood,Waterways,7,2018,2,Working Class,NE,10597073.826441739,6.538371345444921
0.78,22.0,11.0,1001.0,10.13,21.59,242.0,31.72,-3,No,No,No,No,Aluminium,Roadways,3,2017,6,Working Class,KS,10597182.60644174,6.115693430247754
0.84,16.0,7.0,1038.0,5.83,21.85,112.0,27.68,2,Yes,No,No,Yes,Clay,Roadways,10,2018,5,Working Class,AL,10597196.886441737,6.526348435967043
0.31,42.0,9.617647058823529,1011.0,3.08,15.08,403.94117647058823,18.16,1,No,Yes,Yes,No,Wood,Airways,5,2019,3,Working Class,WI,10597314.253558261,5.527959754602076
